,residential_percent_change_from_baseline,Number.Homeless..2019.,Percent.Unemployed..2018.,Population.density.per.square.miles,z.mask,legal_enforcement,party,cases,state
0,7.782122905027933,3261.0,5.600000000000004,93.24000000000008,0.0,0.0,1,116.673258,Alabama
1,6.653631284916201,1907.0,6.799999999999974,1.1100000000000059,0.0,1.0,1,99.20083557,Alaska
2,10.050279329608939,10007.0,5.399999999999992,62.90999999999988,0.0,1.0,1,129.9784297,Arizona
3,6.391061452513966,2717.0,4.5,56.670000000000066,0.0,1.0,1,128.9831992,Arkansas
4,12.960893854748603,151278.0,5.5,241.6500000000009,1.0,0.0,0,101.2907181,California
5,10.184357541899441,9619.0,3.899999999999986,54.719999999999885,1.0,1.0,0,100.1665479,Colorado
6,11.150837988826815,3033.0,5.5,644.5399999999972,1.0,0.0,0,98.49376474,Connecticut
7,10.30167597765363,921.0,5.700000000000022,388.58000000000135,0.0,1.0,0,160.5464473,Delaware
8,16.664804469273744,6521.0,7.5,11496.810000000043,1.0,1.0,0,51.1198568,District of Columbia
9,10.636871508379889,28328.0,5.20000000000002,323.9000000000009,1.0,1.0,1,122.9073738,Florida
10,9.77094972067039,10443.0,4.799999999999982,177.02,1.0,1.0,1,110.8212468,Georgia
11,12.972067039106145,6412.0,3.799999999999989,129.9399999999996,1.0,1.0,0,28.23529088,Hawaii
12,5.675977653631285,2315.0,4.0,20.98999999999989,0.0,1.0,1,109.3259442,Idaho
13,10.70949720670391,10199.0,5.5,220.0,1.0,0.0,0,111.181864,Illinois
14,8.044692737430168,5471.0,4.399999999999985,183.74000000000032,0.0,1.0,1,113.9429386,Indiana
15,7.335195530726257,2315.0,3.6000000000000134,56.09000000000011,0.0,1.0,1,116.3556481,Iowa
16,7.5195530726256985,2381.0,3.799999999999989,35.39000000000012,0.0,0.0,0,113.7102264,Kansas
17,7.994413407821229,4079.0,5.20000000000002,110.58000000000044,0.0,0.0,1,107.3250336,Kentucky
18,8.893854748603353,2941.0,6.4000000000000075,88.96999999999986,0.0,0.0,0,117.8857119,Louisiana
19,7.804469273743017,2106.0,3.5,37.82999999999994,0.0,0.0,0,51.86591787,Maine
20,13.23463687150838,6561.0,4.899999999999984,487.08000000000146,1.0,1.0,1,75.93945112,Maryland
21,13.296089385474861,18471.0,4.799999999999982,653.979999999999,1.0,1.0,1,102.5875554,Massachusetts
22,10.446927374301676,8575.0,5.29999999999998,103.3600000000003,1.0,0.0,0,100.8892136,Michigan
23,10.458100558659218,7977.0,3.399999999999987,64.54000000000032,0.0,1.0,0,107.441627,Minnesota
24,7.022346368715084,1184.0,7.0999999999999845,61.65999999999989,1.0,0.0,1,117.6842844,Mississippi
25,7.374301675977653,6179.0,4.200000000000014,87.88999999999976,0.0,1.0,1,110.9256946,Missouri
26,5.072625698324022,1357.0,3.5,7.220000000000022,0.0,1.0,0,107.4887593,Montana
27,8.156424581005586,2365.0,3.5,24.93999999999996,0.0,1.0,1,116.7624435,Nebraska
28,11.016759776536313,7169.0,5.600000000000004,27.439999999999923,1.0,1.0,0,115.3402645,Nevada
29,10.100558659217876,1396.0,3.6000000000000134,145.09000000000012,1.0,1.0,1,73.22894836,New Hampshire
30,14.22905027932961,8862.0,4.899999999999984,1021.2699999999969,1.0,0.0,0,111.9907064,New Jersey
31,9.513966480446927,3241.0,6.099999999999996,17.230000000000015,0.0,0.0,0,99.70711048,New Mexico
32,13.513966480446927,92091.0,5.0,358.21000000000004,1.0,1.0,0,58.11709959,New York
33,8.754189944134078,9314.0,5.0,192.9399999999999,0.0,0.0,0,100.6433519,North Carolina
34,6.854748603351955,557.0,2.800000000000002,10.75,0.0,1.0,1,143.3382878,North Dakota
35,8.681564245810057,10345.0,4.899999999999984,260.769999999999,0.0,0.0,1,95.77854828,Ohio
36,6.994413407821229,3944.0,4.399999999999985,56.40999999999989,0.0,1.0,1,122.6894899,Oklahoma
37,8.843575418994414,15876.0,5.0,42.60000000000016,0.0,0.0,0,52.18400776,Oregon
38,10.541899441340782,13199.0,4.899999999999984,278.08999999999855,1.0,0.0,0,94.75216686,Pennsylvania
39,10.59217877094972,1055.0,5.5,684.3500000000025,1.0,0.0,0,133.7751132,Rhode Island
40,7.76536312849162,4172.0,5.29999999999998,158.77999999999955,0.0,1.0,1,0.000800949,South Carolina
41,6.832402234636872,995.0,3.0,11.440000000000042,0.0,1.0,1,702.8456004,South Dakota
42,7.435754189944134,7467.0,5.5,160.6399999999996,0.0,1.0,1,129.9558375,Tennessee
43,11.039106145251397,25848.0,4.899999999999984,106.8600000000003,1.0,1.0,1,107.3270818,Texas
44,8.670391061452515,2798.0,3.2000000000000037,37.229999999999805,0.0,0.0,1,135.3614115,Utah
45,10.05586592178771,1089.0,3.799999999999989,65.12999999999975,0.0,0.0,1,36.29269901,Vermont
46,11.089385474860336,5783.0,4.200000000000014,199.12999999999974,0.0,1.0,0,80.87941309,Virginia
47,10.865921787709498,21577.0,4.299999999999986,105.6899999999998,0.0,0.0,0,61.56141483,Washington
48,6.810055865921788,1397.0,5.799999999999978,74.53000000000027,0.0,0.0,0,93.35814588,West Virginia
49,9.072625698324023,4538.0,3.2000000000000037,88.76,0.0,1.0,0,116.8342293,Wisconsin
50,5.391061452513966,548.0,3.899999999999986,5.910000000000005,0.0,1.0,1,113.2892203,Wyoming
